G1	G3	+
G2	G100	+
G3	G66	-
G4	G30	-
G5	G17	+
G6	G29	-
G7	G75	+
G8	G1	-
G9	G31	-
G10	G64	-
G11	G33	+
G12	G18	-
G13	G67	+
G14	G20	+
G15	G96	-
G16	G95	+
G17	G79	+
G18	G49	-
G19	G52	-
G20	G13	-
G21	G86	+
G22	G11	-
G23	G51	+
G24	G10	+
G25	G2	+
G26	G56	-
G27	G5	-
G28	G8	+
G29	G34	+
G30	G28	-
G31	G98	+
G32	G53	+
G33	G97	-
G34	G76	+
G35	G7	-
G36	G89	+
G37	G88	-
G38	G36	+
G39	G25	-
G40	G48	+
G41	G43	-
G42	G77	+
G43	G69	+
G44	G38	+
G45	G84	+
G46	G6	+
G47	G85	+
G48	G21	-
G49	G42	-
G50	G72	-
G51	G27	+
G52	G62	-
G53	G78	+
G54	G50	-
G55	G63	+
G56	G26	-
G57	G60	+
G58	G90	-
G59	G16	+
G60	G37	-
G61	G70	-
G62	G73	-
G63	G19	+
G64	G57	-
G65	G58	-
G66	G59	-
G67	G71	-
G68	G99	-
G69	G61	-
G70	G35	+
G71	G46	+
G72	G81	-
G73	G92	-
G74	G65	-
G75	G93	+
G76	G41	+
G77	G47	-
G78	G15	+
G79	G24	-
G80	G32	-
G81	G54	+
G82	G39	-
G83	G4	-
G84	G12	-
G85	G94	-
G86	G23	+
G87	G82	+
G88	G22	-
G89	G9	+
G90	G44	-
G91	G45	+
G92	G80	+
G93	G55	+
G94	G40	+
G95	G91	-
G96	G74	+
G97	G14	+
G98	G87	+
G99	G83	-
G100	G68	-
