G1	G13	-
G2	G29	+
G3	G61	+
G4	G86	-
G5	G15	-
G6	G94	-
G7	G17	+
G8	G35	-
G9	G42	-
G10	G26	-
G11	G55	+
G12	G99	+
G13	G85	-
G14	G12	+
G15	G54	+
G16	G7	+
G17	G32	+
G18	G79	-
G19	G59	+
G20	G16	+
G21	G100	+
G22	G37	-
G23	G69	-
G24	G3	+
G25	G89	+
G26	G56	+
G27	G71	+
G28	G62	-
G29	G45	-
G30	G31	-
G31	G50	+
G32	G77	-
G33	G98	+
G34	G10	-
G35	G8	-
G36	G24	+
G37	G93	-
G38	G23	-
G39	G46	+
G40	G90	+
G41	G58	-
G42	G49	-
G43	G22	+
G44	G76	-
G45	G97	+
G46	G11	+
G47	G81	-
G48	G41	+
G49	G40	+
G50	G70	-
G51	G80	+
G52	G57	-
G53	G52	-
G54	G43	+
G55	G68	-
G56	G75	+
G57	G73	+
G58	G84	-
G59	G1	+
G60	G34	+
G61	G65	+
G62	G47	-
G63	G48	+
G64	G36	-
G65	G39	-
G66	G91	-
G67	G4	+
G68	G95	+
G69	G25	+
G70	G64	+
G71	G51	+
G72	G74	-
G73	G2	-
G74	G18	+
G75	G33	+
G76	G20	-
G77	G27	-
G78	G5	-
G79	G44	-
G80	G67	-
G81	G78	+
G82	G53	+
G83	G14	-
G84	G87	+
G85	G21	-
G86	G63	-
G87	G19	+
G88	G92	-
G89	G83	-
G90	G66	+
G91	G28	+
G92	G6	+
G93	G96	+
G94	G82	-
G95	G38	+
G96	G9	+
G97	G88	-
G98	G60	-
G99	G30	+
G100	G72	+
