"Time"	G1	G3	G2	G100	G66	G4	G30	G5	G17	G6	G29	G7	G75	G8	G9	G31	G10	G64	G11	G33	G12	G18	G13	G67	G14	G20	G15	G96	G16	G95	G79	G49	G19	G52	G21	G86	G22	G23	G51	G24	G25	G26	G56	G27	G28	G34	G98	G32	G53	G97	G76	G35	G36	G89	G37	G88	G38	G39	G40	G48	G41	G43	G42	G77	G69	G44	G45	G84	G46	G47	G85	G50	G72	G62	G78	G54	G55	G63	G57	G60	G58	G90	G59	G61	G70	G73	G65	G71	G68	G99	G81	G92	G74	G93	G80	G82	G83	G94	G87	G91

0	0.2603161	0.1214924	0.7853781	0.9935863	0.0917840	0.5633018	0.3744889	0.2177407	0.5435750	0.9792234	0.0982606	0.7166335	0.9880570	0.9783139	0.0163347	0.9948119	0.9699029	0.3209916	0.2238301	0.0691623	0.4035830	0.8162409	0.0026676	0.0004945	0.6960773	0.8110199	0.4206299	0.8735130	0.9374882	0.9850168	0.5067304	0.4098125	0.9584158	0.4183521	0.0314008	0.1537552	0.1672592	0.4578039	0.9666771	0.9125650	0.8880797	0.3060544	0.2265915	0.6664280	0.8813838	0.1178546	0.9915253	0.9852246	0.5509750	0.9648764	0.1356089	0.5528338	0.2824016	0.1979269	0.3933052	0.9297235	0.6565579	0.2491671	0.5266963	0.3541307	0.0783314	0.9965771	0.6162688	0.7676780	0.6133135	0.6832847	0.0685410	0.7434406	0.7493783	0.4403934	0.3261762	0.0925386	0.9919760	0.2144659	0.8907620	0.7932229	0.5247717	0.9076872	0.4577271	0.7498405	0.9871350	0.0936539	0.9948967	0.5534624	0.5797943	0.9071313	0.0276857	0.9899389	0.1117832	0.8434316	0.4525710	0.0199905	0.6210981	0.6415778	0.0289002	0.9273552	0.4499225	0.9894357	0.9677887	0.1711100
50	0.2604434	0.6250718	0.9475504	0.9951943	0.0240376	0.4859508	0.3957664	0.1893377	0.5286441	0.9817190	0.0944216	0.5491091	0.9876789	0.9760702	0.0300974	0.9909425	0.9744236	0.3185514	0.2265993	0.0648165	0.4020940	0.8201509	0.0042322	0.0006605	0.7355704	0.8089223	0.4227669	0.8736619	0.9373644	0.9871179	0.5061905	0.4072527	0.9605052	0.2651626	0.0090757	0.1148075	0.1698080	0.4553779	0.9665959	0.9121702	0.8842768	0.3080719	0.2289414	0.6683800	0.8818299	0.5845984	0.9916814	0.7530386	0.5141727	0.9684834	0.6775007	0.8528661	0.4522402	0.6149531	0.1719550	0.9597570	0.7070879	0.2450280	0.5216763	0.4070500	0.4959622	0.9661045	0.6095053	0.7716884	0.6089602	0.7437721	0.0724458	0.7419513	0.7514455	0.2232970	0.6441270	0.0363960	0.5038128	0.0896846	0.8898926	0.8136635	0.5778648	0.9070868	0.4604224	0.7495323	0.9854109	0.0458598	0.8192767	0.5557646	0.5755663	0.7743515	0.0310225	0.9969296	0.1090911	0.8408980	0.5725662	0.0145195	0.6166815	0.8507564	0.0275020	0.9619581	0.4537905	0.9753556	0.9672722	0.1713618
100	0.2630841	0.7010812	0.9863647	0.9910107	0.0096979	0.4618667	0.4286732	0.1840096	0.4810942	0.9841116	0.0917890	0.3750127	0.9876773	0.9762744	0.0919434	0.9908715	0.9798075	0.3206116	0.2275101	0.0665173	0.4014313	0.8157001	0.0021941	0.0000000	0.7579279	0.8148290	0.4199394	0.8765297	0.9340223	0.9901183	0.4930192	0.4104942	0.9573149	0.2366243	0.0092144	0.0625376	0.1544215	0.3970327	0.9668685	0.9119806	0.8887236	0.3130952	0.2285099	0.6673226	0.8788184	0.7699326	0.9870254	0.6881662	0.4249966	0.9652552	0.8429598	0.8794637	0.5006941	0.7447567	0.0923573	0.9876653	0.7446634	0.2420285	0.5203843	0.4339355	0.7118865	0.6388069	0.6101661	0.7701045	0.5650083	0.8594108	0.0698375	0.7410331	0.7479814	0.1623791	0.7446563	0.0106279	0.3811391	0.1137493	0.8686156	0.8982390	0.6851010	0.9083271	0.4616732	0.7546130	0.9871258	0.0300606	0.7859098	0.5564032	0.5790406	0.7603842	0.0338061	0.9950357	0.1142578	0.8408698	0.8189283	0.0037034	0.6195984	0.8752587	0.0250645	0.9691135	0.4547272	0.9303604	0.9667291	0.1722953
150	0.2602252	0.7138607	0.9934603	0.9950811	0.0000000	0.4564374	0.4544769	0.1744271	0.4384061	0.9820339	0.0971011	0.2564061	0.9817991	0.9747035	0.1939395	0.9829352	0.9837535	0.3164899	0.2561494	0.0630431	0.4024047	0.8190653	0.0000000	0.0000000	0.7648608	0.8155100	0.4073585	0.8775463	0.9263923	0.9863421	0.4521916	0.4094546	0.9599506	0.2300422	0.0063704	0.0496528	0.1494152	0.2959287	0.9589382	0.9233916	0.8987512	0.3096801	0.2273100	0.6663064	0.8635560	0.8408904	0.9856455	0.6700999	0.3446836	0.9635319	0.9063399	0.8820758	0.5344769	0.7979657	0.0551094	0.9926646	0.7880662	0.2350974	0.5020252	0.4384643	0.8398452	0.3171836	0.6153508	0.7713373	0.3595687	0.9339123	0.0747425	0.7371088	0.7463327	0.1329631	0.7625244	0.0085772	0.3493753	0.1610823	0.8138833	0.9554394	0.7412044	0.9151276	0.4572419	0.7497184	0.9823968	0.0189380	0.7720499	0.5869404	0.5718255	0.7538775	0.0346946	0.9914507	0.1132657	0.8444945	0.9289836	0.0033194	0.6204341	0.8725537	0.0203093	0.9701994	0.4484921	0.8486543	0.9722565	0.1705158
200	0.2626608	0.7145574	0.9892543	0.9916350	0.0008607	0.4549666	0.4771932	0.1780057	0.4162929	0.9851747	0.0968277	0.1943732	0.9731450	0.9771908	0.2802635	0.9602992	0.9772286	0.3164822	0.2915198	0.0661428	0.4056566	0.8190779	0.0000000	0.0008728	0.7636460	0.8168711	0.3651455	0.8832034	0.9234684	0.9871042	0.4127776	0.4080769	0.9602975	0.2299280	0.0012266	0.0431134	0.1475858	0.2195352	0.9444303	0.9293774	0.9002383	0.3086718	0.2265093	0.6651234	0.8492931	0.8613609	0.9925201	0.6647659	0.3001739	0.9648712	0.9286839	0.8790833	0.5598885	0.8092948	0.0397574	0.9936180	0.8177203	0.2308353	0.4766156	0.4336352	0.8924255	0.1676495	0.6127132	0.7672659	0.1625394	0.9669404	0.0740323	0.7395817	0.7518499	0.1298417	0.7721319	0.0021508	0.3412983	0.2016957	0.7270723	0.9809122	0.7638652	0.9184329	0.4593780	0.7543382	0.9869415	0.0239330	0.7767533	0.6801889	0.5349566	0.7438010	0.0315176	0.9934945	0.1074785	0.8431881	0.9672859	0.0062217	0.6178108	0.8659480	0.0189252	0.9770657	0.4501369	0.7924124	0.9652148	0.1719775
250	0.2670916	0.7179530	0.9944152	0.9983794	0.0000000	0.4539903	0.4871873	0.1812083	0.4021891	0.9862465	0.0935458	0.1657203	0.9176116	0.9754429	0.3375496	0.9155717	0.9823021	0.3159418	0.3132275	0.0665750	0.4047387	0.8156940	0.0000000	0.0025357	0.7610594	0.8169685	0.2954949	0.9010056	0.9232345	0.9857279	0.3718142	0.4130107	0.9627133	0.2289594	0.0045242	0.0403888	0.1433159	0.1892331	0.9252682	0.9508648	0.9085992	0.3081170	0.2295620	0.6595299	0.8428702	0.8764248	0.9867593	0.6665582	0.2796809	0.9620768	0.9426744	0.8526671	0.5814160	0.8214733	0.0376156	0.9925547	0.8390172	0.2282592	0.4455007	0.4290197	0.9222481	0.0986294	0.6104806	0.7719468	0.0843076	0.9754041	0.0775110	0.7404077	0.7490463	0.1325069	0.7710019	0.0005874	0.3352619	0.2126046	0.6466531	0.9825513	0.7753359	0.9253851	0.4626110	0.7526100	0.9871583	0.0192181	0.7701753	0.8034904	0.4583421	0.7308284	0.0294221	0.9903470	0.1159857	0.8415572	0.9761647	0.0106911	0.6202115	0.8595139	0.0226168	0.9755895	0.4479664	0.7601747	0.9682180	0.1713829
300	0.2599448	0.7154364	0.9965839	0.9911922	0.0000000	0.4529250	0.4945949	0.1811178	0.3952775	0.9787334	0.1001983	0.1592371	0.8349313	0.9716861	0.3694292	0.8605688	0.9833703	0.3141406	0.3236307	0.0676682	0.4039671	0.8192000	0.0004558	0.0000000	0.7637831	0.8203416	0.2276904	0.9244246	0.9240045	0.9822257	0.3416941	0.4085088	0.9620023	0.2209677	0.0045441	0.0449275	0.1415529	0.1708167	0.8892513	0.9637237	0.9066553	0.3079647	0.2265880	0.6503349	0.8293366	0.8744985	0.9864592	0.6625015	0.2701471	0.9622863	0.9454978	0.8154061	0.5995772	0.8318954	0.0351188	0.9918853	0.8481282	0.2256548	0.4233874	0.4215167	0.9387956	0.0702175	0.6136576	0.7728577	0.0651018	0.9758924	0.0698544	0.7425372	0.7478511	0.1332451	0.7716340	0.0019101	0.3369185	0.2209508	0.5677552	0.9863118	0.7801088	0.9237065	0.4615428	0.7530317	0.9880131	0.0210519	0.7741293	0.8949837	0.3761054	0.7205553	0.0294723	0.9930798	0.1163010	0.8445101	0.9821434	0.0104689	0.6252542	0.8450797	0.0221638	0.9807289	0.4440663	0.7453612	0.9674887	0.1698401
350	0.2612067	0.7177924	0.9902367	0.9881951	0.0000000	0.4541054	0.4917947	0.1830149	0.3937661	0.9807878	0.0981439	0.1672093	0.7687139	0.9740479	0.3870301	0.8065745	0.9842592	0.3182804	0.3314988	0.0719972	0.4040742	0.8195301	0.0000000	0.0000000	0.7681293	0.8169243	0.1664306	0.9511686	0.9170327	0.9860883	0.3275408	0.4110103	0.9552687	0.2271138	0.0001911	0.0416216	0.1457029	0.1634343	0.8562243	0.9731837	0.9062584	0.3104452	0.2247464	0.6404468	0.8149112	0.8806691	0.9896474	0.6681014	0.2700685	0.9591161	0.9459179	0.7845798	0.6125109	0.8301654	0.0369478	0.9971090	0.8544376	0.2259549	0.4116094	0.4067578	0.9433742	0.0652265	0.6143856	0.7721902	0.0612724	0.9783919	0.0734793	0.7424450	0.7471037	0.1309456	0.7753789	0.0000000	0.3345166	0.2247711	0.5286991	0.9873999	0.7723927	0.9309157	0.4584600	0.7588079	0.9872376	0.0182830	0.7730257	0.9396892	0.3208526	0.7107325	0.0327012	0.9886109	0.1114875	0.8457244	0.9832258	0.0072656	0.6366424	0.8262990	0.0212139	0.9760422	0.4518017	0.7460560	0.9666635	0.1702474
400	0.2614128	0.7137118	0.9946004	0.9906250	0.0000000	0.4533369	0.4946986	0.1819786	0.3966249	0.9843107	0.0981290	0.1846616	0.7500926	0.9721332	0.4017313	0.7704015	0.9801004	0.3160636	0.3361209	0.0740823	0.4013179	0.8145310	0.0021880	0.0047075	0.7644818	0.8216167	0.1383304	0.9658875	0.9204552	0.9896720	0.3256675	0.4098453	0.9615659	0.2246979	0.0002716	0.0400769	0.1404194	0.1672489	0.8330826	0.9768396	0.9076282	0.3130619	0.2273222	0.6278631	0.8151992	0.8803691	0.9892407	0.6593776	0.2648038	0.9593289	0.9444559	0.7689615	0.6197846	0.8327648	0.0330294	0.9915739	0.8554802	0.2281182	0.4021004	0.4011276	0.9513374	0.0550302	0.6174960	0.7748735	0.0584958	0.9870511	0.0770931	0.7369869	0.7491118	0.1263330	0.7697161	0.0017853	0.3362149	0.2280948	0.5029727	0.9852487	0.7600014	0.9237914	0.4634716	0.7538130	0.9898865	0.0191265	0.7715893	0.9576596	0.2862357	0.7096511	0.0367842	0.9898517	0.1151259	0.8441349	0.9848484	0.0094622	0.6383961	0.8094013	0.0248626	0.9780468	0.4515976	0.7389900	0.9674826	0.1713902
