"Time"	G1	G83	G2	G50	G3	G87	G4	G92	G5	G36	G6	G46	G7	G27	G8	G59	G9	G94	G10	G48	G11	G67	G12	G22	G13	G14	G63	G15	G66	G16	G47	G17	G18	G69	G19	G93	G20	G86	G21	G57	G23	G24	G72	G25	G26	G38	G28	G61	G29	G31	G30	G51	G97	G32	G88	G33	G34	G79	G35	G81	G96	G37	G90	G39	G40	G65	G41	G42	G43	G44	G68	G45	G58	G73	G100	G49	G64	G98	G52	G78	G53	G54	G55	G56	G89	G60	G62	G85	G75	G70	G71	G77	G74	G84	G76	G95	G80	G91	G82	G99

0	0.0526629	0.2095125	0.1015786	0.1002434	0.2732235	0.9378292	0.5907196	0.0787317	0.4396146	0.8761137	0.2927223	0.0132374	0.6831996	0.0576429	0.0020406	0.0271993	0.0261358	0.0267855	0.0363376	0.0420123	0.4593684	0.4163887	0.9899563	0.2637434	0.1659699	0.9914703	0.6831822	0.0604361	0.9949036	0.5982791	0.7542373	0.2598943	0.0449351	0.0571142	0.2246424	0.9587471	0.8190291	0.0937605	0.4416169	0.2322983	0.0368329	0.9160166	0.8817057	0.7600706	0.8450422	0.3532048	0.3090151	0.8459208	0.5626864	0.8916931	0.0626285	0.8740714	0.0211038	0.2625783	0.0667127	0.9954513	0.8555805	0.0939744	0.0661522	0.9890011	0.0946443	0.9178958	0.4233252	0.0224824	0.3140074	0.2523950	0.9827156	0.7695959	0.1234788	0.8511015	0.5675265	0.0121592	0.9923513	0.9934904	0.0527465	0.5321454	0.9247470	0.4574505	0.1979484	0.7515466	0.4400496	0.2752181	0.0359965	0.9907918	0.8038249	0.5175084	0.2100483	0.4023460	0.0417538	0.0165786	0.8868042	0.1121635	0.6534457	0.7420174	0.0075129	0.4840207	0.0453385	0.9572831	0.3474427	0.0341018
50	0.0527906	0.1426899	0.6991000	0.3618123	0.2300724	0.8035122	0.5991083	0.0219455	0.4412522	0.8888726	0.2889487	0.7728828	0.6830110	0.0553995	0.0045175	0.9283046	0.3316540	0.4235019	0.0385311	0.0376640	0.4578869	0.4202986	0.4337793	0.3977474	0.3257182	0.9812075	0.6848762	0.0605829	0.4503269	0.5881391	0.7553547	0.3186236	0.0483763	0.3947142	0.0792775	0.9674346	0.8231738	0.0985057	0.4405998	0.2372647	0.0326741	0.9179492	0.8840547	0.7611622	0.8457086	0.3147333	0.2668618	0.9303504	0.5607007	0.8955142	0.4877337	0.6277347	0.0047973	0.1828722	0.1316452	0.9934195	0.2324872	0.0957714	0.0613186	0.5225379	0.0115881	0.9334903	0.4107020	0.0264980	0.3457760	0.2592891	0.9883913	0.7676146	0.1255459	0.3778186	0.4786838	0.5106429	0.5238331	0.5525272	0.0532712	0.5356211	0.8984327	0.1518574	0.1988372	0.7515045	0.4119055	0.8772252	0.4739965	0.8658139	0.7833206	0.4077787	0.2133848	0.4093257	0.0501802	0.0140442	0.8944372	0.0758661	0.7456721	0.8382521	0.0083173	0.7612039	0.0492062	0.9440411	0.3467321	0.0335699
100	0.0554304	0.1255357	0.8994978	0.6415214	0.2159130	0.7760219	0.5980791	0.0095019	0.4384781	0.8964963	0.2864727	0.7830940	0.6855863	0.0556328	0.0000000	0.9869338	0.4059895	0.8070686	0.0309671	0.0393329	0.4576079	0.4158869	0.3800714	0.7281844	0.3673173	0.9509314	0.6767521	0.0633395	0.2694596	0.5565558	0.7631293	0.5632115	0.0860573	0.5183563	0.1070040	0.9790190	0.8163500	0.1015049	0.4321253	0.3006337	0.0339147	0.9218243	0.8835899	0.7466423	0.8447211	0.3069396	0.2495099	0.9283240	0.5667343	0.8918669	0.7359514	0.3412577	0.0030541	0.1542020	0.1612763	0.9933738	0.1888160	0.1071289	0.0642482	0.3344713	0.0001150	0.9592698	0.3974592	0.0249171	0.4362507	0.2815184	0.9878943	0.7596295	0.1220822	0.1947776	0.5889856	0.8455126	0.3546743	0.3422401	0.0500027	0.5285157	0.7967908	0.0554700	0.1832243	0.7657607	0.3580989	0.9799359	0.6564143	0.3943727	0.7310395	0.3551066	0.2161698	0.4068932	0.1242116	0.0140040	0.9274731	0.0526855	0.9060188	0.8919216	0.0101705	0.8381294	0.0501441	0.9177070	0.3446957	0.0332421
150	0.0525623	0.1228884	0.9633978	0.7919702	0.2011477	0.7750219	0.5945211	0.0000000	0.4330154	0.8967931	0.2919040	0.7822752	0.6914659	0.0542288	0.0000000	0.9871401	0.4256133	0.9303498	0.0347016	0.0356045	0.4612346	0.4198351	0.3713915	0.8878652	0.3755898	0.9077823	0.6566610	0.0628432	0.2045160	0.5204776	0.7730061	0.7921865	0.3798618	0.6215369	0.2500391	0.9875231	0.8196314	0.0969489	0.4099797	0.4017897	0.0381434	0.9143372	0.8821709	0.7014084	0.8311156	0.3045861	0.3203514	0.9323784	0.5701369	0.8879710	0.8658418	0.1791786	0.0066953	0.1537053	0.1659315	0.9932615	0.1749365	0.1157841	0.0634913	0.2514049	0.0080014	0.9716495	0.3916872	0.0261514	0.5019535	0.3402371	0.9937173	0.7323262	0.1204371	0.1192590	0.6802287	0.9457897	0.2320591	0.2396287	0.0492686	0.5273638	0.6529468	0.0282122	0.1485620	0.7978085	0.3106688	0.9863100	0.7327018	0.2001482	0.6492561	0.3325261	0.2171123	0.3998286	0.2922907	0.0175994	0.9456995	0.0455712	0.9698467	0.9157447	0.0080417	0.8597258	0.0439170	0.8434650	0.3481692	0.0308139
200	0.0549610	0.1209857	0.9785822	0.8494298	0.1979426	0.7771736	0.6002841	0.0011187	0.4239378	0.8998809	0.2916198	0.7822320	0.7145436	0.0571130	0.0000000	0.9868735	0.4224867	0.9722403	0.0392096	0.0378627	0.4728555	0.4228953	0.3695540	0.9429192	0.3735147	0.8794148	0.6250559	0.0614762	0.1830062	0.5009737	0.7968270	0.9085879	0.7119273	0.7979284	0.3402242	0.9750120	0.8244830	0.0926748	0.3892116	0.4607439	0.0339481	0.9042654	0.8806718	0.6291269	0.8118049	0.2991892	0.4120301	0.9492305	0.5754456	0.8856145	0.9258439	0.0981262	0.0038587	0.1446639	0.1668367	0.9936110	0.1559401	0.1257776	0.0699130	0.2146681	0.0012275	0.9813823	0.3834495	0.0220859	0.5434155	0.4108411	0.9933605	0.6870264	0.1260042	0.1015290	0.7315821	0.9674242	0.1601199	0.2008612	0.0482503	0.5333525	0.5460003	0.0184431	0.1222260	0.8586842	0.2894110	0.9956038	0.8415184	0.1363006	0.5518735	0.3223721	0.2144003	0.3931889	0.4914920	0.0162585	0.9602719	0.0442737	0.9852324	0.9253837	0.0077752	0.8743035	0.0455791	0.7447578	0.3402710	0.0320006
250	0.0593131	0.1239291	0.9902490	0.8801153	0.1919265	0.7785122	0.6011539	0.0037234	0.3987634	0.8975353	0.2879266	0.7818312	0.7239778	0.0559605	0.0007952	0.9897091	0.4280527	0.9854913	0.0366621	0.0366350	0.4905461	0.4288250	0.3722717	0.9614033	0.3702834	0.8642990	0.5944877	0.0622641	0.1766662	0.4893807	0.8113414	0.9630599	0.8561824	0.8996677	0.3689319	0.9447779	0.8282761	0.0988044	0.3810920	0.5013667	0.0381496	0.8888549	0.8821857	0.5505071	0.7902795	0.3086791	0.4605765	0.9646596	0.5796299	0.8790946	0.9599296	0.0511994	0.0013648	0.1470163	0.1710666	0.9924783	0.1452812	0.1355615	0.0783602	0.2038528	0.0027991	0.9802274	0.3799547	0.0268110	0.5640838	0.4644159	0.9969721	0.6092350	0.1235203	0.0999308	0.7472235	0.9736188	0.1219457	0.1748150	0.0565751	0.5290755	0.4876205	0.0197605	0.1055424	0.9062629	0.2754487	0.9924338	0.9171602	0.1000652	0.4563345	0.3118291	0.2143127	0.3775050	0.6445225	0.0145993	0.9653633	0.0460467	0.9908042	0.9324048	0.0118192	0.8779529	0.0434328	0.6454540	0.3456124	0.0312895
300	0.0520512	0.1213229	0.9945781	0.8821462	0.1864697	0.7790305	0.6001572	0.0023793	0.3643270	0.8817507	0.2932352	0.7817723	0.7329484	0.0528729	0.0008519	0.9925691	0.4289244	0.9882687	0.0322654	0.0354869	0.5239652	0.4533938	0.3730634	0.9589028	0.3726937	0.8609729	0.5782852	0.0605580	0.1754031	0.4815736	0.8203493	0.9782621	0.9031850	0.9350200	0.3740622	0.9165426	0.8364012	0.0950610	0.3713384	0.5175724	0.0336213	0.8703063	0.8766191	0.4882735	0.7529765	0.3109514	0.4871504	0.9667645	0.5811827	0.8767723	0.9730970	0.0312420	0.0024651	0.1514638	0.1711057	0.9917987	0.1366379	0.1434647	0.0994542	0.2012699	0.0061623	0.9805428	0.3851906	0.0279523	0.5748898	0.4992578	0.9893661	0.5060085	0.1235511	0.0994853	0.7540397	0.9771260	0.1092405	0.1670397	0.0459150	0.5307787	0.4600538	0.0155057	0.0924493	0.9378837	0.2689092	0.9948851	0.9606074	0.0827645	0.3798307	0.3036997	0.2201749	0.3674926	0.7205214	0.0175330	0.9720094	0.0440525	0.9926794	0.9364681	0.0113813	0.8875063	0.0395574	0.5727321	0.3511944	0.0296962
350	0.0531790	0.1236473	0.9889443	0.8826546	0.1793623	0.7814246	0.5854116	0.0019456	0.3283419	0.8696433	0.2884338	0.7796635	0.7425001	0.0558490	0.0007360	0.9887559	0.4295086	0.9939701	0.0323281	0.0375724	0.5773320	0.4924209	0.3692955	0.9655013	0.3769094	0.8548858	0.5612740	0.0625368	0.1677481	0.4840676	0.8294395	0.9884712	0.9123475	0.9582485	0.3705014	0.8878040	0.8505034	0.0925739	0.3697772	0.5256336	0.0317743	0.8552630	0.8713307	0.4501544	0.7100802	0.3264901	0.5022569	0.9749175	0.5858663	0.8725530	0.9787107	0.0233042	0.0048518	0.1458097	0.1739705	0.9970197	0.1339911	0.1522417	0.1308791	0.1945926	0.0047141	0.9878802	0.3906272	0.0281057	0.5807879	0.5238848	0.9930092	0.3947011	0.1262154	0.0968686	0.7600701	0.9728614	0.1007655	0.1639675	0.0501977	0.5307496	0.4432829	0.0216679	0.0826244	0.9602889	0.2644144	0.9923717	0.9767018	0.0738759	0.3323153	0.2955766	0.2364639	0.3528211	0.7500351	0.0187360	0.9742706	0.0396650	0.9974506	0.9416719	0.0102997	0.8863631	0.0473123	0.5354045	0.3587430	0.0300812
400	0.0532560	0.1195435	0.9935417	0.8864029	0.1783981	0.7816248	0.5732667	0.0000000	0.2967461	0.8534809	0.2842899	0.7776110	0.7464655	0.0544207	0.0054811	0.9885593	0.4250976	0.9923221	0.0331806	0.0378649	0.6435773	0.5458083	0.3747957	0.9709332	0.3731931	0.8586523	0.5632617	0.0593158	0.1709388	0.4875822	0.8382762	0.9903092	0.9241803	0.9624447	0.3705118	0.8702510	0.8534823	0.0975588	0.3755883	0.5274316	0.0323851	0.8445917	0.8702257	0.4271698	0.6816448	0.3381927	0.5069503	0.9672450	0.5826355	0.8728101	0.9798119	0.0192581	0.0062096	0.1459031	0.1704938	0.9914844	0.1307720	0.1606858	0.1596140	0.1962688	0.0100488	0.9830402	0.4004642	0.0331068	0.5821901	0.5458180	0.9966293	0.2953317	0.1358153	0.0921733	0.7552674	0.9778186	0.0999770	0.1642910	0.0488170	0.5275927	0.4363099	0.0144441	0.0839976	0.9635177	0.2652416	0.9933224	0.9825750	0.0695091	0.3019623	0.2957079	0.2647271	0.3471648	0.7681365	0.0171406	0.9767878	0.0410771	0.9915789	0.9438512	0.0137592	0.8908926	0.0471227	0.5067899	0.3673823	0.0312142
