"Time"	G1	G13	G2	G29	G3	G61	G4	G86	G5	G15	G6	G94	G7	G17	G8	G35	G9	G42	G10	G26	G11	G55	G12	G99	G85	G14	G54	G16	G32	G18	G79	G19	G59	G20	G21	G100	G22	G37	G23	G69	G24	G25	G89	G56	G27	G71	G28	G62	G45	G30	G31	G50	G77	G33	G98	G34	G36	G93	G38	G39	G46	G40	G90	G41	G58	G49	G43	G44	G76	G97	G47	G81	G48	G70	G51	G80	G52	G57	G53	G68	G75	G73	G84	G60	G65	G63	G64	G66	G91	G67	G95	G72	G74	G78	G82	G83	G87	G88	G92	G96

0	0.1813606	0.7603537	0.0327722	0.1105779	0.5438383	0.9422702	0.6949740	0.2812086	0.4512438	0.6734752	0.9937671	0.3717725	0.6483950	0.9934461	0.7073998	0.5152565	0.6729622	0.5148897	0.4628780	0.6215985	0.2296010	0.3291248	0.1391116	0.0657627	0.5313413	0.0555438	0.9841520	0.4600261	0.6752339	0.0698199	0.9564752	0.6494661	0.3043997	0.3962833	0.6705254	0.4232976	0.9850931	0.5128948	0.8708212	0.2684309	0.7555013	0.2271956	0.6571251	0.2324029	0.8977947	0.7776853	0.0976986	0.9914165	0.8320716	0.0558741	0.9632547	0.9716509	0.4898800	0.0847968	0.7560139	0.6641383	0.9939793	0.8171118	0.5229655	0.5207101	0.5782743	0.3595391	0.9357770	0.0487626	0.9932729	0.5468699	0.7318492	0.3298242	0.1303001	0.4881464	0.0180314	0.8835625	0.0995141	0.1947893	0.6713856	0.8745218	0.0733024	0.4133074	0.1316697	0.8237214	0.1438895	0.4666895	0.3168332	0.3570127	0.9657827	0.2341731	0.1278808	0.9422719	0.1583317	0.4868479	0.5785322	0.9861143	0.0728448	0.9759712	0.1557068	0.8068483	0.9344199	0.2635029	0.9697378	0.6931418
50	0.1814882	0.6304794	0.0294766	0.1925880	0.7823834	0.9788171	0.7033427	0.2475961	0.4520279	0.3201009	0.9899943	0.2781556	0.6468718	0.9912028	0.7156700	0.5064564	0.7877657	0.4803512	0.4678035	0.6150665	0.2692404	0.3472554	0.3147342	0.0772114	0.3243224	0.0521330	0.9804266	0.4283337	0.7059056	0.0718984	0.9572226	0.6468323	0.3065945	0.2624333	0.3226536	0.3831913	0.9892363	0.5176392	0.8707644	0.2680797	0.7163541	0.2292224	0.6595619	0.2323544	0.9214465	0.9168401	0.0978569	0.7526808	0.8132557	0.0595614	0.8559405	0.9850311	0.2541856	0.5647175	0.8759542	0.6607721	0.4420701	0.8176375	0.5181322	0.2308625	0.7486481	0.3553891	0.9290197	0.0576775	0.9897347	0.5532333	0.7355683	0.3283354	0.1323668	0.5875059	0.0088530	0.2823692	0.3237049	0.0870311	0.6792195	0.8782401	0.0700818	0.1371237	0.1343416	0.8230776	0.1410729	0.6513823	0.2561706	0.3484467	0.9621161	0.1967250	0.1254172	0.9492608	0.1556449	0.4843105	0.5724869	0.9940845	0.0683887	0.9809541	0.1564854	0.6011950	0.9345617	0.2101565	0.9702359	0.6933944
100	0.1841181	0.5691249	0.0314361	0.2154918	0.8510552	0.9852167	0.7017124	0.2343948	0.4499366	0.2013082	0.9875234	0.2507189	0.6321847	0.9914220	0.7174609	0.5006064	0.8089440	0.4314458	0.4655792	0.6149231	0.3661757	0.4820833	0.3666670	0.1187332	0.2552157	0.0542986	0.9161853	0.3519561	0.7195140	0.0748706	0.9600956	0.6491038	0.3034503	0.2313380	0.3148152	0.2913102	0.9823372	0.5206392	0.8719939	0.2664655	0.5895917	0.2342493	0.6591779	0.2295545	0.9624318	0.9586402	0.0932072	0.6893908	0.7736735	0.0586886	0.8317306	0.9843472	0.1728742	0.6854445	0.9552701	0.6509136	0.2831302	0.8234020	0.5207013	0.1460562	0.7505921	0.3553412	0.9297572	0.0763096	0.9939247	0.5637395	0.7284262	0.3274174	0.1289036	0.6245937	0.0082133	0.1604891	0.3566818	0.0450392	0.6919510	0.8735985	0.0770341	0.0483864	0.1353689	0.8140757	0.1417204	0.6656026	0.2423554	0.3063612	0.9671758	0.2196753	0.1142963	0.9473694	0.1608285	0.4841175	0.5746727	0.9852697	0.0712189	0.9644723	0.1581835	0.5851828	0.9243059	0.1399945	0.9768201	0.6943310
150	0.1811274	0.5432279	0.0305133	0.2287363	0.8401775	0.9878250	0.6958206	0.2200917	0.4561956	0.1577966	0.9929759	0.2372163	0.5908273	0.9899399	0.7243002	0.4899997	0.8149029	0.4014073	0.4902950	0.6084677	0.4299364	0.6859557	0.3797522	0.1750773	0.2334013	0.0513162	0.6952016	0.2877375	0.7204042	0.0711028	0.9570757	0.6454834	0.3050820	0.2222282	0.3366274	0.2396741	0.9846468	0.5161134	0.8697115	0.2702438	0.4422875	0.2308367	0.6580037	0.2273930	0.9788120	0.9705351	0.0918329	0.6723578	0.7355475	0.0828662	0.8203557	0.9847066	0.1476579	0.7249221	0.9740327	0.6259965	0.2373481	0.8225220	0.5134369	0.1148685	0.7487206	0.3623980	0.9357288	0.0970516	0.9903897	0.5866813	0.7002266	0.3234935	0.1272553	0.6154094	0.0000000	0.1460988	0.3646808	0.0212100	0.7029272	0.8772363	0.0729497	0.0209605	0.1305302	0.7468351	0.1360090	0.6330009	0.2308771	0.2709572	0.9675200	0.2469660	0.1048431	0.9438265	0.1598581	0.4869126	0.5564592	0.9801510	0.0719900	0.9057202	0.1557901	0.5813443	0.9065670	0.1000225	0.9900612	0.6925501
200	0.1830026	0.5302449	0.0248833	0.2284015	0.8138538	0.9883197	0.6979563	0.2212558	0.4781307	0.1457892	0.9927946	0.2324027	0.5458185	0.9926212	0.7323862	0.4818869	0.8084098	0.3919723	0.5399536	0.6035151	0.4568348	0.7990767	0.3837212	0.2085779	0.2251960	0.0501328	0.4498271	0.2516343	0.7211896	0.0719195	0.9634175	0.6405274	0.3028494	0.2210558	0.3446730	0.2190604	0.9850587	0.5120653	0.8734496	0.2610168	0.3304797	0.2297996	0.6572133	0.2260030	0.9873389	0.9674896	0.0987224	0.6672624	0.7145801	0.1856972	0.7844467	0.9864195	0.1344408	0.7265408	0.9785169	0.5960040	0.2211690	0.8214900	0.4844434	0.1023207	0.7366435	0.3812510	0.9357062	0.1048687	0.9922258	0.6087768	0.5906067	0.3259625	0.1327716	0.6056248	0.0013479	0.1403842	0.3725346	0.0172741	0.7081180	0.8881122	0.0684271	0.0094919	0.1322681	0.6598119	0.1396223	0.6183467	0.2354617	0.2498777	0.9680368	0.2696950	0.0964613	0.9460930	0.1540831	0.4838791	0.5126114	0.9722148	0.0690586	0.8424697	0.1552837	0.5866024	0.9003373	0.0935003	0.9870252	0.6940000
250	0.1861534	0.5283723	0.0300585	0.2361981	0.7896734	0.9876547	0.6961692	0.2230460	0.4993448	0.1395259	0.9895647	0.2302049	0.4872844	0.9911052	0.7425270	0.4767100	0.8131629	0.3885186	0.5965134	0.5879014	0.4613178	0.8394721	0.3881758	0.2247981	0.2221318	0.0487292	0.3134168	0.2367131	0.7223722	0.0706938	0.9611651	0.6419705	0.3015494	0.2198502	0.3527964	0.2151378	0.9768028	0.5191621	0.8966037	0.2639090	0.2762645	0.2289142	0.6602131	0.2210024	0.9977390	0.9733145	0.0930195	0.6690161	0.7048213	0.3269319	0.6662983	0.9797189	0.1282400	0.7316345	0.9836218	0.5697541	0.2200214	0.8203484	0.4019317	0.1023024	0.7360030	0.3931170	0.9379976	0.1168333	0.9928294	0.6183421	0.4157193	0.3267814	0.1299704	0.5954908	0.0000000	0.1403114	0.3768058	0.0061843	0.7193164	0.8875620	0.0698216	0.0096900	0.1352093	0.5837405	0.1386626	0.6031432	0.2286554	0.2374404	0.9693492	0.2833735	0.0921680	0.9435093	0.1625737	0.4799938	0.4399069	0.9658346	0.0699091	0.8079803	0.1591731	0.5845562	0.8938639	0.0970350	0.9915504	0.6933756
300	0.1770234	0.5242484	0.0324505	0.2293699	0.7769685	0.9865204	0.6967772	0.2215642	0.5150595	0.1268652	0.9962409	0.2294758	0.4434501	0.9875038	0.7511491	0.4712435	0.8138262	0.3859389	0.6462520	0.5669326	0.4602608	0.8571438	0.3895081	0.2230547	0.2258111	0.0512973	0.2543795	0.2286174	0.7235942	0.0674738	0.9570902	0.6347442	0.2968858	0.2119671	0.3540533	0.2214901	0.9562123	0.5186543	0.9264329	0.2574267	0.2442378	0.2270984	0.6567787	0.2128475	0.9957862	0.9677758	0.0928341	0.6648931	0.6996013	0.4346442	0.4816426	0.9753087	0.1280230	0.7366105	0.9838652	0.5527640	0.2188179	0.8178122	0.2875157	0.1044168	0.7384564	0.4043501	0.9463961	0.1230724	0.9935340	0.6209886	0.2449553	0.3289046	0.1287788	0.5850248	0.0000000	0.1424777	0.3858503	0.0047093	0.7099006	0.8918117	0.0739774	0.0049339	0.1339476	0.5394870	0.1374647	0.6003337	0.2325033	0.2326826	0.9698950	0.2911428	0.0913787	0.9471132	0.1628380	0.4807232	0.3736432	0.9596057	0.0708703	0.7939721	0.1586541	0.5895683	0.8879222	0.1058585	0.9912394	0.6917155
350	0.1759209	0.5269267	0.0262721	0.2264945	0.7687349	0.9876011	0.6896843	0.2214365	0.5237048	0.1249128	0.9941986	0.2271352	0.4193692	0.9898933	0.7599262	0.4588190	0.8142806	0.3899468	0.6846775	0.5484662	0.4591328	0.8609289	0.3859114	0.2303342	0.2310647	0.0474812	0.2154567	0.2281693	0.7166938	0.0716989	0.9572663	0.6354165	0.2867088	0.2183153	0.3496611	0.2196739	0.8947881	0.5267329	0.9584710	0.2476807	0.2304810	0.2249736	0.6529358	0.2040587	0.9886368	0.9725315	0.0961791	0.6704572	0.7010907	0.4902198	0.3388126	0.9620543	0.1299479	0.7307256	0.9867693	0.5489701	0.2205963	0.8158924	0.1880679	0.0997801	0.7365623	0.4190357	0.9517826	0.1266325	0.9939150	0.6247080	0.1481019	0.3288211	0.1280340	0.5749417	0.0035005	0.1379692	0.3882856	0.0042636	0.7146985	0.8935928	0.0733068	0.0109032	0.1307289	0.5225004	0.1331858	0.5956938	0.2313732	0.2292261	0.9730739	0.2916818	0.0943242	0.9436225	0.1579403	0.4801136	0.3241237	0.9543029	0.0756258	0.7923628	0.1575344	0.5853051	0.8947774	0.1223130	0.9903559	0.6916340
400	0.1738056	0.5242458	0.0307261	0.2289649	0.7687959	0.9867664	0.6896112	0.2175240	0.5269857	0.1255739	0.9941883	0.2250309	0.4062454	0.9879223	0.7738307	0.4497764	0.8094992	0.3878354	0.7083262	0.5313679	0.4554312	0.8560437	0.3914646	0.2361100	0.2279564	0.0519916	0.2023823	0.2240737	0.7200423	0.0756276	0.9606024	0.6331531	0.2904119	0.2160915	0.3493614	0.2188519	0.7203235	0.5653181	0.9788124	0.2351903	0.2262087	0.2197515	0.6501193	0.1920227	0.9931383	0.9716781	0.0959351	0.6617348	0.6963488	0.5184962	0.2564305	0.9309295	0.1311545	0.7301425	0.9832926	0.5389754	0.2197030	0.8089584	0.1224552	0.1024077	0.7415631	0.4185394	0.9584094	0.1325214	0.9919593	0.6338634	0.0994756	0.3234033	0.1300372	0.5655514	0.0000000	0.1429012	0.3927390	0.0057047	0.7135266	0.8919014	0.0742976	0.0036126	0.1356315	0.5071534	0.1308907	0.5958243	0.2299440	0.2271133	0.9716370	0.2955661	0.0983453	0.9457433	0.1614738	0.4772085	0.2962349	0.9560932	0.0698433	0.7921827	0.1609764	0.5890549	0.8942268	0.1256618	0.9909004	0.6908864
