"Time"	G1	G77	G2	G94	G3	G9	G4	G63	G5	G60	G6	G35	G7	G88	G8	G68	G28	G10	G11	G76	G12	G83	G13	G85	G14	G87	G15	G61	G16	G71	G17	G91	G18	G57	G19	G56	G20	G64	G21	G86	G22	G23	G48	G24	G25	G26	G27	G72	G93	G29	G44	G30	G31	G70	G32	G33	G95	G34	G97	G36	G37	G54	G38	G39	G49	G40	G81	G41	G42	G43	G45	G67	G46	G47	G50	G66	G51	G52	G53	G58	G55	G78	G82	G59	G99	G62	G92	G65	G100	G96	G69	G98	G80	G73	G74	G75	G79	G89	G84	G90

0	0.0891846	0.2024326	0.0221289	0.9938178	0.2599569	0.1085057	0.3440108	0.1204022	0.6021105	0.6422419	0.7430069	0.0837935	0.9886491	0.9940403	0.2964406	0.9937601	0.0273032	0.1581288	0.7480701	0.1158851	0.9661289	0.3674591	0.1074633	0.0758298	0.2508331	0.1516642	0.0050716	0.0121407	0.9139799	0.9857817	0.1371713	0.0909660	0.4460699	0.7707830	0.0324662	0.0527304	0.5873943	0.4839845	0.5366641	0.1922651	0.1271058	0.0246849	0.0540923	0.0967455	0.6739354	0.0422718	0.9917744	0.2263030	0.0417925	0.3782450	0.4389876	0.0911811	0.1097306	0.0532109	0.0969921	0.0079266	0.9922839	0.8250342	0.9765099	0.6501491	0.0304915	0.1552208	0.9958742	0.9811161	0.9183306	0.5515877	0.7143978	0.2437298	0.0539082	0.0905371	0.9920739	0.9942096	0.8852423	0.2769971	0.0848887	0.9401067	0.9239911	0.0815002	0.5188404	0.9690276	0.3894511	0.8300272	0.9457590	0.9857355	0.1877712	0.0772770	0.4835275	0.0580213	0.3241205	0.5841091	0.0500799	0.0549763	0.6509934	0.9831969	0.9863024	0.4135981	0.0885883	0.0607223	0.0536776	0.8796349
50	0.0893125	0.5464600	0.6568950	0.3330101	0.2244012	0.0991106	0.3523752	0.7225738	0.6037560	0.3162818	0.6459637	0.0192008	0.9876618	0.9917988	0.2989156	0.9931697	0.2877522	0.1558726	0.4577095	0.1217525	0.9691391	0.3712286	0.5178657	0.0825712	0.3708336	0.1311480	0.0072555	0.0122874	0.9095477	0.9878797	0.1332527	0.0883748	0.4127851	0.5023859	0.0074531	0.0553755	0.5530289	0.4875938	0.5366097	0.1919109	0.1236035	0.0267008	0.0564401	0.1072231	0.6747644	0.7259339	0.9919325	0.1819148	0.0395682	0.9906091	0.2562461	0.6258812	0.0372338	0.5098164	0.1752942	0.0033195	0.3813962	0.7088965	0.9713288	0.2224898	0.5619517	0.3680707	0.9891207	0.9756093	0.9147406	0.5482092	0.7194769	0.2422419	0.0693680	0.3082861	0.8012167	0.9924533	0.4063893	0.1742909	0.0812838	0.9435796	0.9207718	0.0297946	0.5215253	0.9620819	0.3877285	0.8885939	0.9670513	0.9879834	0.0933397	0.0216714	0.4867961	0.0644973	0.3214355	0.5815857	0.0440475	0.4185680	0.6465816	0.7151010	0.9765966	0.3323949	0.0924529	0.0538026	0.0531616	0.8487469
100	0.0919815	0.6673440	0.8797757	0.1205415	0.2655251	0.0968651	0.3507464	0.8496758	0.6015172	0.2033882	0.3811648	0.0095802	0.9801697	0.9920320	0.2936350	0.9941566	0.3824885	0.1584348	0.1510884	0.3215159	0.9784749	0.3654200	0.8569820	0.1766213	0.3597560	0.1070203	0.0068106	0.0150417	0.8940248	0.9907901	0.1122077	0.0909525	0.3358608	0.4576034	0.0079879	0.0562528	0.4339544	0.4766042	0.5378925	0.1902942	0.1315783	0.0317389	0.0560114	0.1279823	0.6761444	0.9246504	0.9872516	0.1626516	0.0484186	0.9920001	0.1742735	0.7385531	0.0200572	0.6459383	0.2170035	0.0013446	0.2530223	0.5408603	0.9709313	0.1429477	0.6874818	0.6158479	0.9897828	0.8096161	0.9167704	0.5292995	0.7255309	0.2413245	0.1794843	0.3530174	0.7763878	0.9870296	0.3214132	0.2463331	0.0721626	0.9364804	0.9275856	0.0110414	0.5225812	0.8855475	0.3894419	0.9070629	0.9777145	0.9842587	0.0289579	0.0090550	0.4864300	0.0613373	0.3266158	0.5813835	0.0475961	0.5709737	0.6494951	0.6664215	0.9155700	0.3107008	0.0933900	0.0600317	0.0526192	0.4895249
150	0.0896958	0.7123283	0.9545616	0.0380175	0.3158775	0.0881765	0.3448659	0.8679619	0.6001285	0.1608453	0.2120452	0.0053053	0.9642512	0.9906316	0.2929740	0.9906863	0.4174690	0.1547915	0.0700502	0.6762525	0.9862616	0.3662563	0.9514465	0.3600400	0.3330114	0.0919279	0.0095361	0.0145459	0.8723852	0.9867866	0.0892203	0.0886712	0.2943182	0.4667200	0.0057583	0.0602133	0.3302204	0.4355697	0.5357469	0.1940392	0.1490232	0.0286983	0.0548983	0.1432090	0.6711002	0.9792444	0.9806883	0.1533990	0.0641231	0.9903288	0.1467558	0.8108522	0.0195680	0.6961573	0.2289294	0.0009292	0.2259685	0.4482268	0.9626704	0.1228975	0.7280309	0.7254217	0.9949636	0.3883625	0.8895613	0.5197177	0.7424153	0.2374041	0.3460796	0.3464023	0.7638336	0.9924548	0.3098065	0.2966537	0.0721132	0.9353294	0.9217070	0.0090127	0.5177656	0.7086422	0.3847172	0.9076330	0.9679988	0.9658058	0.0123270	0.0016389	0.4679570	0.0567544	0.3256472	0.5845507	0.0438479	0.6429479	0.6502130	0.6517279	0.8243024	0.3129778	0.0871681	0.0574542	0.0581419	0.1463315
200	0.0963545	0.7279116	0.9745212	0.0129983	0.3616624	0.0727139	0.3471959	0.8772923	0.6038618	0.1497775	0.1357275	0.0072994	0.9647410	0.9935214	0.2932478	0.9901866	0.4208090	0.1551044	0.0532472	0.8620953	0.9926265	0.3639109	0.9765500	0.4866085	0.3150931	0.0886197	0.0090584	0.0131804	0.8600183	0.9872615	0.0874333	0.0864447	0.2816795	0.4837093	0.0009615	0.0571761	0.2684016	0.3815820	0.5368914	0.1848724	0.1565808	0.0299627	0.0549899	0.1468685	0.6696248	0.9847549	0.9052595	0.1493338	0.0826440	0.9918204	0.1351942	0.8903546	0.0156354	0.7028409	0.2335479	0.0012496	0.2172510	0.4092413	0.9580012	0.1157579	0.7292315	0.7718938	0.9923289	0.1648872	0.7941610	0.5177209	0.7503116	0.2398749	0.4734132	0.3464592	0.7666064	0.9887685	0.3070834	0.3199294	0.0775458	0.9412003	0.9084308	0.0120631	0.5195124	0.5604900	0.3892555	0.9168295	0.9514547	0.9091102	0.0088521	0.0000942	0.4150065	0.0586252	0.3199008	0.5827326	0.0457696	0.6780160	0.6469153	0.6448761	0.7566567	0.3345747	0.0888290	0.0605585	0.0511070	0.0430020
250	0.1193479	0.7419974	0.9881592	0.0143100	0.3865496	0.0585486	0.3460746	0.8812526	0.6029764	0.1458612	0.1025616	0.0161898	0.9556695	0.9923840	0.2951963	0.9930055	0.4281437	0.1547651	0.0453277	0.9372721	0.9928923	0.3589786	0.9864006	0.5513151	0.3058066	0.0893598	0.0058817	0.0139696	0.8549196	0.9856516	0.0838108	0.0910096	0.2849295	0.4921762	0.0043533	0.0551211	0.2357823	0.3415906	0.5458400	0.1891258	0.1654189	0.0360103	0.0621305	0.1397627	0.6748695	0.9920616	0.7056376	0.1573050	0.0948827	0.9894880	0.1364953	0.9283754	0.0128358	0.7100942	0.2395482	0.0001213	0.2186787	0.3941250	0.9500285	0.1178632	0.7327440	0.7833044	0.9900985	0.0848676	0.5832607	0.5133016	0.7582635	0.2406961	0.5381011	0.3486258	0.7643051	0.9882106	0.2965392	0.3150635	0.0933463	0.9359243	0.8824791	0.0179632	0.5224562	0.4652527	0.3894377	0.9137062	0.8950141	0.8363231	0.0091637	0.0000000	0.3362362	0.0569242	0.3286158	0.5807101	0.0440051	0.6967014	0.6470763	0.6446747	0.7215723	0.3515092	0.0866852	0.0602712	0.0541092	0.0151194
300	0.1789191	0.7669779	0.9932748	0.0055374	0.4011437	0.0483544	0.3479141	0.8802012	0.6012656	0.1366040	0.0978856	0.0348746	0.9511705	0.9893158	0.2952530	0.9958623	0.4291999	0.1531060	0.0395251	0.9673535	0.9925278	0.3616512	0.9890972	0.5716052	0.3061047	0.0949286	0.0082410	0.0122700	0.8535390	0.9820062	0.0811398	0.0864127	0.2875977	0.4874297	0.0042905	0.0597906	0.2224457	0.3052370	0.5456903	0.1879589	0.1585560	0.0477957	0.0699945	0.1297784	0.6701230	0.9867317	0.5304442	0.1729289	0.0998922	0.9906306	0.1345233	0.9476225	0.0138327	0.7160765	0.2404035	0.0000000	0.2183061	0.3873300	0.9462791	0.1207630	0.7365307	0.7871630	0.9932728	0.0534783	0.3370434	0.5090484	0.7525442	0.2427785	0.5705848	0.3495961	0.7649534	0.9899037	0.2890434	0.3127572	0.0877381	0.9334725	0.8174927	0.0149984	0.5211972	0.4165384	0.3900271	0.9161604	0.8460566	0.7811207	0.0094445	0.0004309	0.2549519	0.0636981	0.3300999	0.5834194	0.0469406	0.7026256	0.6472825	0.6456228	0.6975264	0.3727609	0.0828145	0.0598677	0.0533856	0.0065912
350	0.3699113	0.8509669	0.9879526	0.0019945	0.4088563	0.0438450	0.3424592	0.8798295	0.5995802	0.1380416	0.0916274	0.0555282	0.9523634	0.9923047	0.2951371	0.9920522	0.4296312	0.1573587	0.0391933	0.9821648	0.9927672	0.3615924	0.9858442	0.5881692	0.3096878	0.0935535	0.0020493	0.0142564	0.8457157	0.9857899	0.0834217	0.0889275	0.2829906	0.4939301	0.0000000	0.0565078	0.2222744	0.2838894	0.5460724	0.1880294	0.1505751	0.0654923	0.0875959	0.1230916	0.6615032	0.9914952	0.4253033	0.2127947	0.1055797	0.9888551	0.1331112	0.9574255	0.0161722	0.7109126	0.2436170	0.0052043	0.2203394	0.3863145	0.9461997	0.1164203	0.7350802	0.7951195	0.9940002	0.0404984	0.1702314	0.5097232	0.7569024	0.2424085	0.5859074	0.3503208	0.7688579	0.9851516	0.2779795	0.3106885	0.0942681	0.9225962	0.6759048	0.0215120	0.5179812	0.3982127	0.3880471	0.9136446	0.8118703	0.7462591	0.0125531	0.0000000	0.1926561	0.0656477	0.3294142	0.5845045	0.0471772	0.7019663	0.6514692	0.6495333	0.6670116	0.3806937	0.0905646	0.0663378	0.0525719	0.0052134
400	0.6643970	0.9292887	0.9926633	0.0042123	0.4195211	0.0395514	0.3441285	0.8753464	0.5978137	0.1413449	0.0900705	0.0719921	0.9523435	0.9908878	0.2998783	0.9918558	0.4250709	0.1552556	0.0399269	0.9876396	0.9900559	0.3564318	0.9914781	0.5976764	0.3059254	0.0996606	0.0099309	0.0110504	0.8488246	0.9893364	0.0886380	0.0878166	0.2899846	0.4911356	0.0000000	0.0549470	0.2154772	0.2795176	0.5470254	0.1861337	0.1442832	0.0826569	0.1157627	0.1162004	0.6652697	0.9906357	0.3672735	0.2465151	0.1024096	0.9906892	0.1309452	0.9615165	0.0175042	0.7111601	0.2402076	0.0009406	0.2195161	0.3880880	0.9430904	0.1191561	0.7402283	0.7901835	0.9971080	0.0384855	0.0864501	0.5176430	0.7607704	0.2358278	0.5954176	0.3531581	0.7633156	0.9899700	0.2741448	0.3111208	0.0934610	0.8992337	0.4774420	0.0143940	0.5228809	0.3818087	0.3869846	0.9145906	0.7942987	0.7274671	0.0111031	0.0011891	0.1528650	0.0739774	0.3434204	0.5828544	0.0485784	0.7051399	0.6453707	0.6512170	0.6159815	0.3953043	0.0903762	0.0613825	0.0534072	0.0058991
